QueryId,QueryCtonten,Title,Tag,Link,Category,Author,Image
0,historical,History of the World Map by Map,"right, good, capitalist, socialist, communist, pure, pretty, past, hilarious, bad,",https://www.amazon.com/History-World-Map-DK/dp/1465475850/ref=sr_1_10?qid=1636073620&s=books&sr=1-10,Travel,"DK, ",https://m.media-amazon.com/images/I/819JDQmIb8L._AC_UY218_.jpg
0,historical,The Secret History,"entire, exciting, likable, bad, slow, old, annoying, boring, possible, describe,",https://www.amazon.com/Secret-History-Donna-Tartt/dp/1400031702/ref=sr_1_23?qid=1639358282&s=books&sr=1-23,"Mystery, Thriller & Suspense","Donna Tartt, ",https://m.media-amazon.com/images/I/91EWBiFTnGL._AC_UY218_.jpg
0,historical,Empire of Pain: The Secret History of the Sackler Dynasty,"work, large, able, numerous, sure, soft, real, bad, opioid, 1st,",https://www.amazon.com/Empire-Pain-History-Sackler-Dynasty/dp/0385545681/ref=sr_1_24?qid=1639355508&s=books&sr=1-24,Biographies,"Patrick Radden Keefe, ",https://m.media-amazon.com/images/I/71ToorJRl+L._AC_UY218_.jpg
0,historical,Empire of Pain: The Secret History of the Sackler Dynasty,"work, large, able, numerous, sure, soft, real, bad, opioid, 1st,",https://www.amazon.com/Empire-Pain-History-Sackler-Dynasty/dp/0385545681/ref=sr_1_19?qid=1639355805&s=books&sr=1-19,Politics & Social Sciences,"Patrick Radden Keefe, ",https://m.media-amazon.com/images/I/71ToorJRl+L._AC_UY218_.jpg
0,historical,Vanderbilt: The Rise and Fall of an American Dynasty,"fascinating, personal, previous, second, numerous, gay, old, informative, helpful, natural,",https://www.amazon.com/Vanderbilt-Rise-Fall-American-Dynasty/dp/0062964615/ref=sr_1_27?qid=1639355508&s=books&sr=1-27,Biographies,"Anderson Cooper, Katherine Howe, ",https://m.media-amazon.com/images/I/81ur4nwZdBL._AC_UY218_.jpg
0,historical,Vanderbilt: The Rise and Fall of an American Dynasty,"fascinating, personal, previous, second, numerous, gay, old, helpful, informative, natural,",https://www.amazon.com/Vanderbilt-Rise-Fall-American-Dynasty/dp/0062964615/ref=sr_1_13?qid=1636072434&s=books&sr=1-13,Biographies,"Anderson Cooper, Katherine Howe, ",https://m.media-amazon.com/images/I/81ur4nwZdBL._AC_UY218_.jpg
0,historical,Vanderbilt: The Rise and Fall of an American Dynasty,"fascinating, personal, previous, second, numerous, gay, old, helpful, informative, natural,",https://www.amazon.com/Vanderbilt-Rise-Fall-American-Dynasty/dp/0062964615/ref=sr_1_4?qid=1636075088&s=books&sr=1-4,Business & Money,"Anderson Cooper, Katherine Howe, ",https://m.media-amazon.com/images/I/81ur4nwZdBL._AC_UY218_.jpg
0,historical,Vanderbilt: The Rise and Fall of an American Dynasty,"fascinating, personal, previous, second, numerous, gay, old, helpful, informative, natural,",https://www.amazon.com/Vanderbilt-Rise-Fall-American-Dynasty/dp/0062964615/ref=sr_1_7?qid=1636072788&s=books&sr=1-7,History,"Anderson Cooper, Katherine Howe, ",https://m.media-amazon.com/images/I/81ur4nwZdBL._AC_UY218_.jpg
0,historical,How the Word Is Passed: A Reckoning with the History of Slavery Across America,"poor, bad, motivated, long, big, rear, personal, sad, neurotic, ill,",https://www.amazon.com/How-Word-Passed-Reckoning-History/dp/0316492930/ref=sr_1_32?qid=1639355705&s=books&sr=1-32,History,"Clint Smith, ",https://m.media-amazon.com/images/I/81LjfGLDMEL._AC_UY218_.jpg
0,historical,"To Rescue the Republic: Ulysses S. Grant, the Fragile Union, and the Crisis of 1876","military, american, unnecessary, personal, political, absurd, late, nineteenth, real, inherent,",https://www.amazon.com/Rescue-Republic-Ulysses-Fragile-Crisis/dp/0063039540/ref=sr_1_17?qid=1639355805&s=books&sr=1-17,Politics & Social Sciences,"Bret Baier, ",https://m.media-amazon.com/images/I/81u8pA8kNEL._AC_UY218_.jpg
1,asian culture,The Korean Vegan Cookbook: Reflections and Recipes from Omma's Kitchen,"white, metric, asian, proud, special, ancestral, cringeworthy, evident, brown, good,",https://www.amazon.com/Korean-Vegan-Cookbook-Reflections-Recipes/dp/0593084276/ref=sr_1_20?qid=1639357009&s=books&sr=1-20,"Cookbooks, Food & Wine","Joanne Lee Molinaro, ",https://m.media-amazon.com/images/I/81XEhFQdMVL._AC_UY218_.jpg
1,asian culture,Caste (Oprah's Book Club): The Origins of Our Discontents,"racial, inherent, contemporary, political, balanced, protective, multiple, american, dominant, social,",https://www.amazon.com/Caste-Origins-Discontents-Isabel-Wilkerson/dp/0593230256/ref=sr_1_31?qid=1639355805&s=books&sr=1-31,Politics & Social Sciences,"Isabel Wilkerson, ",https://m.media-amazon.com/images/I/81MVfud0o8L._AC_UY218_.jpg
1,asian culture,Caste (Oprah's Book Club): The Origins of Our Discontents,"racial, inherent, contemporary, political, balanced, protective, multiple, american, dominant, social,",https://www.amazon.com/Caste-Origins-Discontents-Isabel-Wilkerson/dp/0593230256/ref=sr_1_23?qid=1639355705&s=books&sr=1-23,History,"Isabel Wilkerson, ",https://m.media-amazon.com/images/I/81MVfud0o8L._AC_UY218_.jpg
1,asian culture,The Korean Vegan Cookbook: Reflections and Recipes from Omma's Kitchen,"new, korean, able, impossible, disappointed, intact, bent, shabby,",https://www.amazon.com/Korean-Vegan-Cookbook-Reflections-Recipes/dp/0593084276/ref=sr_1_8?qid=1636074047&s=books&sr=1-8,"Cookbooks, Food & Wine","Joanne Lee Molinaro, ",https://m.media-amazon.com/images/I/81sphJyaRYL._AC_UY218_.jpg
1,asian culture,"Amazing Patterns: Adult Coloring Book, Stress Relieving Mandala Style Patterns","disappointed, great, thick, awesome, small, precise, clear, bold, dark, little,",https://www.amazon.com/Amazing-Patterns-Coloring-Relieving-Mandala/dp/B08HGTT1D7/ref=sr_1_12?qid=1636073620&s=books&sr=1-12,Travel,"Coloring Book Kim, ",https://m.media-amazon.com/images/I/81oBIyH-kBL._AC_UY218_.jpg
1,asian culture,"Amazing Patterns: Adult Coloring Book, Stress Relieving Mandala Style Patterns","disappointed, great, thick, awesome, small, precise, clear, bold, dark, little,",https://www.amazon.com/Amazing-Patterns-Coloring-Relieving-Mandala/dp/B08HGTT1D7/ref=sr_1_22?qid=1639356780&s=books&sr=1-22,Arts & Photography,"Coloring Book Kim, ",https://m.media-amazon.com/images/I/814OX2iTsXL._AC_UY218_.jpg
1,asian culture,People Love Dead Jews: Reports from a Haunted Present,"dead, remarkable, jewish, insightful, chinese, provocative, great, sarcastic, caustic, revealing,",https://www.amazon.com/People-Love-Dead-Jews-Reports/dp/0393531562/ref=sr_1_7?qid=1636075614&qsid=146-2930825-2310558&s=books&sr=1-7&sres=0140280197%2C0358574315%2C0989081532%2C0525657746%2C0316551309%2C081298496X%2C0393531562%2C194564009X%2C0143118757%2C1541736699%2C1631494538%2C0767914171%2C0578666154%2C1524763136%2C0593196651%2C1565842715,Law,"Dara Horn, ",https://m.media-amazon.com/images/I/61KjYL7uFXS._AC_UY218_.jpg
